ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service
1743000738.918717,C9nZmg11lz1GMtGnR7,10.3.26.44,49796,23.43.51.138,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,False,,True,CsiI,nan,nan,,b3660d245cfc48d8313d6882ea4ef028,15af977ce25de452b96affa2addb1036,1743000738.849341,10.3.26.44,49796,23.43.51.138,443,tcp,3.955456972122192,2594.0,5732.0,RSTO,True,False,0,ShADadR,13,3126,15,6344,ssl
1743000738.833406,CH6MnD4IxjR4qxhXa,10.3.26.44,49794,150.171.27.11,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,False,h2,False,Csxukn,"['6337a7cc987496c11150da81b5bfa35c951c77f11388c2abfa2522f9b549ea94', '511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea']",[],1.0,35cb11719d8224326d2004925d612a29,0f14538e1c9070becdad7739c67d6363,1743000738.800139,10.3.26.44,49794,150.171.27.11,443,tcp,0.08872199058532701,1760.0,5969.0,RSTO,True,False,0,ShADFadR,8,2092,9,6341,ssl
1743000809.821276,CqWWOIT8FI6PoE6q2,10.3.26.44,49803,52.167.163.114,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp384r1,geo.prod.do.dsp.mp.microsoft.com,False,h2,True,CsxknGIi,"['58f6bac3332c184f90ccaabc0a04d1d9a5fab62c097930a561fe3c25f766769b', 'e39f93f3b2b40fd3c41de7dfa7d0b0cb6c4d8f97cbab2bb81c178f4b5f3c7eed']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,a02d7ceb8c8cbb4da2e6007f5a1c91e4,1743000809.754396,10.3.26.44,49803,52.167.163.114,443,tcp,0.395692110061645,671.0,3168.0,SF,True,False,0,ShADdaFf,12,1163,9,3540,ssl
1743000810.147603,C7EOLp1X9J3iwKqhE4,10.3.26.44,49804,23.212.72.79,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,kv801.prod.do.dsp.mp.microsoft.com,False,http/1.1,True,CsxuknGIti,"['ff999b10ea2fb6f2eef794ae370817d45a9310f9e2104292591c2db6801a6652', '9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,35af4c8cd9495354f7d701ce8ad7fd2d,1743000810.117696,10.3.26.44,49804,23.212.72.79,443,tcp,90.45181584358215,667.0,7690.0,SF,True,False,0,ShADadFRf,11,1119,11,8142,ssl
1743000810.347257,CFg4oK3izXDxK4Ltp9,10.3.26.44,49805,23.212.72.79,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,cp801.prod.do.dsp.mp.microsoft.com,False,http/1.1,True,CsxuknGIti,"['ff999b10ea2fb6f2eef794ae370817d45a9310f9e2104292591c2db6801a6652', '9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,35af4c8cd9495354f7d701ce8ad7fd2d,1743000810.32202,10.3.26.44,49805,23.212.72.79,443,tcp,90.2474570274353,958.0,6603.0,SF,True,False,0,ShADadFfR,11,1410,11,7055,ssl
1743000811.287474,CknQbG4gx7CEkRuBW8,10.3.26.44,49807,13.89.178.26,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v10.events.data.microsoft.com,False,h2,True,CsxknGIi,"['b8598c903332ffb3d4f8ab5be9f414a50087fd8001f958a536d5e1840630de3b', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000811.230315,10.3.26.44,49807,13.89.178.26,443,tcp,0.48161506652832003,4124.0,4680.0,SF,True,False,0,ShADdaFf,13,4656,13,5212,ssl
1743000812.772966,CvqLfn5vr1KYmELWi,10.3.26.44,49808,13.89.178.26,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v10.events.data.microsoft.com,False,h2,True,CsxknGIi,"['b8598c903332ffb3d4f8ab5be9f414a50087fd8001f958a536d5e1840630de3b', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000812.71818,10.3.26.44,49808,13.89.178.26,443,tcp,0.42450714111328103,2511.0,4722.0,SF,True,False,0,ShADdaFRf,13,3043,12,5214,ssl
1743000820.53547,CBkLtSNyCjkY73lJl,10.3.26.44,49809,104.208.16.90,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v10.events.data.microsoft.com,False,h2,True,CsxknGIi,"['b8598c903332ffb3d4f8ab5be9f414a50087fd8001f958a536d5e1840630de3b', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,091f51a7a1c3a4504a224cc081ce9cee,2fe9b0e731d3d41b2b84e8e1d6186836,1743000820.47369,10.3.26.44,49809,104.208.16.90,443,tcp,0.32250905036926203,2330.0,4680.0,SF,True,False,0,ShADdFf,13,2862,10,5092,ssl
1743000866.036433,CQP58H2t1lFcE7dAK5,10.3.26.44,49810,52.123.129.14,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,ecs.office.com,True,,True,CsiI,nan,nan,,6634ba84945fce7cc2d7864edc49b103,2253c82f03b621c5144709b393fde2c9,1743000865.987762,10.3.26.44,49810,52.123.129.14,443,tcp,66.82625603675842,1593.0,1161.0,RSTR,True,False,0,ShADadr,7,1885,7,1453,ssl
1743001093.767797,CRoN5s4z3ANuq0p2V7,10.3.26.44,49812,52.123.129.14,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,ecs.office.com,False,,True,CsiI,nan,nan,,2800f914a7a4ba98aa9df62d316a460c,15af977ce25de452b96affa2addb1036,1743001093.735486,10.3.26.44,49812,52.123.129.14,443,tcp,8.297075986862183,1758.0,8252.0,S1,True,False,0,ShADad,13,2290,12,8744,ssl
