ja3_int,ja3s_int,sni_len,sni_entropy,sni_is_ip,ja3_freq,sni_freq,ja3_reuse_cnt,iat_mean,iat_std,iat_cv,iat_cnt
141459,19419,20,3.621928094887362,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,30,3.8980685120588383,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,29,4.004364184708143,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,22,3.477175233435623,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,22,3.477175233435623,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,29,4.004364184708143,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,133602,28,4.039148671903071,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,121006,17,3.4992275471326932,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,121006,15,3.373557262275185,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,259268,20,3.621928094887362,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,259268,20,3.621928094887362,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,109500,15,3.32323142879762,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,112783,13,3.0269868333592873,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,24,3.569773835029478,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,12,3.0849625007211556,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,15,3.189898095464287,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,22,3.6635327548042538,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,22,3.6635327548042538,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,11,2.9139770731827523,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,182303,11,2.9139770731827523,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,19419,24,3.6572682296173897,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,55092,27,3.6339740759971577,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,50353,17,3.3371753411230776,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,15,3.1395722619867223,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,159263,18,3.6143694458867563,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,8491,20,3.6841837197791887,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,121006,20,3.2464393446710154,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
141459,261034,16,3.327819531114783,False,0,0,7715,1.8374021911860012,6.647569897168087,3.617915724244081,7715
